dry_run_id,content_type,title,content_completeness,content_completeness_reasons,disposition,import_readiness
workbook:02_Content_Inventory:59,resource,Digital Citizenship,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:60,resource,Social Engineering Explained,content_brief,Resource has title/summary/source planning fields but no learner-facing body column.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:12,safety_summary,How to Avoid a Scam,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:21,safety_summary,Think Before You Share,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:30,safety_summary,Using AI Safely Online,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:39,safety_summary,Protecting Your Personal Information,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:48,safety_summary,Staying Safe Online,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:57,safety_summary,Protect Your Accounts,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:66,safety_summary,Safe Digital Habits,content_brief,Safety Summary has concise title/summary guidance but no full content body.,missing_required_fields,planning_only
workbook:02_Content_Inventory:7,scenario,Avoiding Social Engineering and Phishing Attacks,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:16,scenario,Verifying Viral News Before Sharing,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:25,scenario,Uncovering Deepfakes,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:34,scenario,Public Computers and Public Wi-Fi,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:43,scenario,Dealing with Online Bullying,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:52,scenario,Creating a Secure Password,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
workbook:02_Content_Inventory:61,scenario,A Stranger Asks for Your Information,content_brief,Scenario has title/description planning fields but no step/option structure.; Scenario steps are absent.; Scenario options are absent.,missing_required_fields,blocked_missing_content
