dry_run_id,sheet,row,content_type,title,original_topic,mapped_category,proposed_subcategory,proposed_slug,live_support,disposition,validation_status,duplicate_status,manual_review_reason
workbook:02_Content_Inventory:48,02_Content_Inventory,48,safety_summary,Staying Safe Online,TOPIC-SAFETY,Online Safety & Digital Wellbeing,,staying-safe-online,planning_only,unsupported_live_type,ok,none,
workbook:02_Content_Inventory:57,02_Content_Inventory,57,safety_summary,Protect Your Accounts,TOPIC-PASSWORD,Passwords & Account Security,,protect-your-accounts,planning_only,unsupported_live_type,ok,none,
workbook:02_Content_Inventory:66,02_Content_Inventory,66,safety_summary,Safe Digital Habits,TOPIC-BEGINNER,Beginner / Digital Foundations,,safe-digital-habits,planning_only,unsupported_live_type,ok,none,
workbook:02_Content_Inventory:7,02_Content_Inventory,7,scenario,Avoiding Social Engineering and Phishing Attacks,TOPIC-SCAMS,Scams & Social Engineering,,avoid-social-engineering-and-phishing-attacks,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:16,02_Content_Inventory,16,scenario,Verifying Viral News Before Sharing,TOPIC-MISINFORMATION,Misinformation & Media Literacy,,verifying-viral-news-before-sharing,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:25,02_Content_Inventory,25,scenario,Uncovering Deepfakes,TOPIC-AI&TECHNOLOGY,AI & Technology Safety,,uncovering-deepfakes,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:34,02_Content_Inventory,34,scenario,Public Computers and Public Wi-Fi,TOPIC-PRIVACY,Privacy & Personal Data Protection,,public-computers-and-public-wifi,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:43,02_Content_Inventory,43,scenario,Dealing with Online Bullying,TOPIC-SAFETY,Online Safety & Digital Wellbeing,,dealing-with-online-bullying,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:52,02_Content_Inventory,52,scenario,Creating a Secure Password,TOPIC-PASSWORD,Passwords & Account Security,,creating-a-secure-password,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:61,02_Content_Inventory,61,scenario,A Stranger Asks for Your Information,TOPIC-BEGINNER,Beginner / Digital Foundations,,stranger-asking-for-information,live_supported,create_candidate,issues,none,
